ID,earthquake,pga_(g),CorrosionLvl_Long,CorrosionLvl_Trans,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,SD_Teff_xi,rhol,rhov,ALR,height_of_col,long_bar_diameter,ServciabilitySteel,ServiciabilityConcrete,DamageControlSteel,DamageControlConcrete,UltimateSteel,Ductility
0,RSN1245_CHICHI_CHY102-E.AT2.g3,0.04137836,15,0,0.858714329,0.000797755,0.000720909,0.000765406,53.25,60,0.441786467,2.5,67.625,4071.5136,72,1.043106936,6.896341132,0.004,0.016992106,0.059638752,0.86849721,-220.477,-0.399595,1.079198215,1.079198215,0.03,0.01,0.2,288,1.152443057,0,0,0,0,0,0.236514099
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,0,0,2.347982023,0.00119052,0.000953368,0.00103013,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,2.516957631,-194.73,-2.96418,8.015819413,8.015819413,0.03,0.01,0.2,576,1.25,0,0,0,0,0,0.398819608
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,0,0,1.527023719,0.00844039,0.00425121,0.00491581,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,2.583663538,597.829,9.5889,33.9619073,20.07062858,0.03,0.01,0.2,432,1.25,0,1,0,0,0,2.264588416
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,5,0,2.371188714,0.0014421,0.00128379,0.00140909,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,2.640558875,233.613,3.91389,11.56789824,11.56789824,0.03,0.01,0.2,576,1.218349293,0,0,0,0,0,0.548415763
0,RSN1231_CHICHI_CHY080-E.AT2.g3,0.8092498,20,0,0.867717107,0.0309994,0.00800612,0.00947774,51,60,0.441786467,2.5,67.625,4071.5136,72,0.981747704,6.896341132,0.004,0.016996628,0.059638752,2.893338786,-777.01,-15.6295,39.95921505,20.68189059,0.03,0.01,0.2,288,1.118033989,1,1,0,0,1,9.701516198
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,10,0,2.395117045,0.00143511,0.00127858,0.00140247,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,2.664648743,225.988,3.85554,12.1195562,12.1195562,0.03,0.01,0.2,576,1.185854123,0,0,0,0,0,0.563450315
0,RSN1194_CHICHI_CHY025-E.AT2.g3,0.1616407,5,0,2.371188714,0.0144145,0.00344429,0.00399246,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,4.678668149,-439.033,-23.092,118.3456117,66.11842098,0.03,0.01,0.2,576,1.218349293,0,0,0,0,0,3.235659869
0,RSN1500_CHICHI_TCU061-E.AT2.g3,0.1356281,15,0,1.573662225,0.00332255,0.00204293,0.0022927,53.25,60,0.441786467,2.5,67.625,4071.5136,72,1.043106936,6.896341132,0.004,0.016992106,0.059638752,2.102861198,-446.923,-4.74869,17.77586813,12.62215322,0.03,0.01,0.2,432,1.152443057,0,0,0,0,0,1.275387962
0,RSN1509_CHICHI_TCU074-E.AT2.g3,0.5964375,20,0,0.867717107,0.0233419,0.00771006,0.00914009,51,60,0.441786467,2.5,67.625,4071.5136,72,0.981747704,6.896341132,0.004,0.016996628,0.059638752,2.551730754,-761.388,-11.9123,52.43881311,27.44651681,0.03,0.01,0.2,288,1.118033989,1,1,0,0,0,7.394182246
0,RSN1231_CHICHI_CHY080-E.AT2.g3,0.8092498,15,0,2.41980621,0.0071025,0.00365181,0.00421496,53.25,60,0.441786467,2.5,67.625,4071.5136,72,1.043106936,6.896341132,0.004,0.016992106,0.059638752,3.845738001,380.16,13.5097,24.0603624,14.50350278,0.03,0.01,0.2,576,1.152443057,0,0,0,0,0,2.06242926
0,RSN1505_CHICHI_TCU068-E.AT2.g3,0.5116834,10,0,1.55763135,0.0545474,0.0107665,0.0127044,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,5.767587579,-603.021,-48.1993,229.9502225,118.1127182,0.03,0.01,0.2,432,1.185854123,1,1,0,0,1,12.38293378
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,15,0,2.41980621,0.0146487,0.00616053,0.00725022,53.25,60,0.441786467,2.5,67.625,4071.5136,72,1.043106936,6.896341132,0.004,0.016992106,0.059638752,4.892300393,398.669,22.9276,99.46499539,55.0567758,0.03,0.01,0.2,576,1.152443057,0,1,0,0,0,3.500192685
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,5,0,1.542093658,0.00866351,0.00427585,0.00495343,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,2.660152318,569.057,9.67584,35.95161194,21.04261585,0.03,0.01,0.2,432,1.218349293,0,1,0,0,0,2.381625526
0,RSN1547_CHICHI_TCU123-E.AT2.g3,0.1516146,0,0,1.527023719,0.00913783,0.00446998,0.00518256,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,2.677688842,585.145,10.081,41.05197517,24.0294054,0.03,0.01,0.2,432,1.25,0,1,0,0,0,2.380806539
0,RSN1194_CHICHI_CHY025-E.AT2.g3,0.1616407,20,0,1.590213716,0.0140723,0.00410216,0.00479664,51,60,0.441786467,2.5,67.625,4071.5136,72,0.981747704,6.896341132,0.004,0.016996628,0.059638752,3.383227021,-501.801,-13.8011,72.56510637,39.73025438,0.03,0.01,0.2,432,1.118033989,0,1,0,0,0,3.881651225
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,10,0,1.55763135,0.00890674,0.00430725,0.00499921,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,2.741805049,541.41,9.77956,38.79251215,22.4900026,0.03,0.01,0.2,432,1.185854123,0,1,0,0,0,2.512477233
