earthquake,pga_(g),cover_cm,water_cement_ratio,time_yrs,CorrosionLvl_Long,CorrosionLvl_Transv,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce
RSN543_CHALFANT.B_B-BEN270.AT2.g3,0.0585513,4,0.4,25,5.971173759,12.099405,0.363172583,0.00049431,0.000454853,0.000517419,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.407982891,-16.2273,-0.117442
RSN543_CHALFANT.B_B-BEN270.AT2.g3,0.0585513,4,0.4,50,9.829996808,19.46383972,0.356191674,0.000491099,0.000429702,0.000488847,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.409009806,-16.6935,-0.121425
RSN543_CHALFANT.B_B-BEN270.AT2.g3,0.0585513,4,0.4,75,13.06475663,25.50419091,0.349324954,0.000485445,0.000425681,0.000487138,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.409246943,-17.0452,-0.124127
RSN544_CHALFANT.B_B-LAD180.AT2.g3,0.1257927,4,0.4,5,1.658948118,3.677540555,0.369502395,0.0013768,0.000912891,0.0011151,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.517266948,32.0682,0.373076
RSN544_CHALFANT.B_B-LAD180.AT2.g3,0.1257927,4,0.4,25,5.971173759,12.099405,0.363172583,0.0013225,0.000863343,0.00105638,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.51535415,30.8531,0.35629
RSN544_CHALFANT.B_B-LAD180.AT2.g3,0.1257927,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00132257,0.000834775,0.00102529,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.516932721,-30.5578,-0.355045
RSN544_CHALFANT.B_B-LAD180.AT2.g3,0.1257927,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00116895,0.000754662,0.000924541,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.505267908,28.2001,0.313031
RSN545_CHALFANT.B_B-BPL070.AT2.g3,0.04762951,4,0.4,5,1.658948118,3.677540555,0.369502395,0.000329808,0.000265901,0.000284562,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.368571183,-9.11509,-0.053839
RSN545_CHALFANT.B_B-BPL070.AT2.g3,0.04762951,4,0.4,25,5.971173759,12.099405,0.363172583,0.000315649,0.00025743,0.000276124,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.362592744,-9.10488,-0.0520482
RSN545_CHALFANT.B_B-BPL070.AT2.g3,0.04762951,4,0.4,50,9.829996808,19.46383972,0.356191674,0.000302708,0.000258942,0.000279521,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.356223124,-9.1924,-0.0507185
RSN545_CHALFANT.B_B-BPL070.AT2.g3,0.04762951,4,0.4,75,13.06475663,25.50419091,0.349324954,0.000292316,0.000255563,0.000277064,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.350742755,-9.3502,-0.050014
RSN546_CHALFANT.B_B-SHE009.AT2.g3,0.05070214,4,0.4,5,1.658948118,3.677540555,0.369502395,0.000447335,0.000433461,0.000487454,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.398330496,14.6313,0.10094
RSN546_CHALFANT.B_B-SHE009.AT2.g3,0.05070214,4,0.4,25,5.971173759,12.099405,0.363172583,0.000454209,0.000437104,0.000494921,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.400456086,15.4182,0.107507
RSN546_CHALFANT.B_B-SHE009.AT2.g3,0.05070214,4,0.4,50,9.829996808,19.46383972,0.356191674,0.000450309,0.000431395,0.000491006,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.400148198,15.8592,0.110412
RSN546_CHALFANT.B_B-SHE009.AT2.g3,0.05070214,4,0.4,75,13.06475663,25.50419091,0.349324954,0.000446416,0.000426127,0.000487711,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.400550728,16.2743,0.11353
RSN547_CHALFANT.B_B-ZAK270.AT2.g3,0.2718815,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00607275,0.0019189,0.00262466,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.837180611,-54.5482,-1.66231
RSN547_CHALFANT.B_B-ZAK270.AT2.g3,0.2718815,4,0.4,25,5.971173759,12.099405,0.363172583,0.0057442,0.00169591,0.00235296,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.887108353,-50.7295,-1.73583
RSN547_CHALFANT.B_B-ZAK270.AT2.g3,0.2718815,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00550358,0.00154649,0.0021691,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.934740284,-47.2997,-1.79694
RSN547_CHALFANT.B_B-ZAK270.AT2.g3,0.2718815,4,0.4,75,13.06475663,25.50419091,0.349324954,0.0429956,0.0170582,0.0223617,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,2.039207241,23.1161,4.17956
RSN589_WHITTIER.A_A-ALH180.AT2.g3,0.2896879,4,0.4,5,1.658948118,3.677540555,0.369502395,0.0102788,0.00260403,0.00374174,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.922592331,53.0429,1.96309
