ID,earthquake,pga_(g),CorrosionLvl_Long,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,rhol,rhov,height_of_column
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,10,0.679829205,0.000670045,0.000642601,0.000693692,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.722495283,260.847,0.43623,1.380504339,0.04,0.01,288
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,20,0.697261884,0.000706043,0.000632292,0.000680744,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,0.739287422,-245.362,-0.429629,1.042587656,0.04,0.01,288
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,15,0.68838053,0.00397459,0.00226225,0.00259018,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,1.056038391,718.383,2.5667,5.967010595,0.04,0.01,288
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,15,0.68838053,0.000725695,0.000640761,0.000690949,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,0.734231249,-262.445,-0.453277,1.02837981,0.04,0.01,288
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,5,0.671587271,0.000672324,0.000628622,0.000678387,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.711578775,261.946,0.42493,1.297975542,0.04,0.01,288
0,RSN285_ITALY_A-BAG000.AT2.g3,0.129652,10,0.679829205,0.00242193,0.00172049,0.0019383,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.877379402,730.794,1.80231,4.726285081,0.04,0.01,288
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,0,0.663635943,0.000677967,0.000614955,0.000663387,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.701280644,-265.536,-0.418376,0.935788608,0.04,0.01,288
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,20,0.697261884,0.00298924,0.00185882,0.00211373,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,1.042124937,571.384,1.98805,6.492853858,0.04,0.01,288
0,RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,0,0.663635943,0.000749032,0.000751808,0.000819353,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.723863631,340.352,0.571349,1.490689493,0.04,0.01,288
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,10,0.679829205,0.00358179,0.00217099,0.00247346,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.973437659,798.114,2.42293,5.33119257,0.04,0.01,288
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,5,0.671587271,0.00322976,0.00207894,0.00235807,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.90415406,873.487,2.28771,5.57299233,0.04,0.01,288
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,20,0.697261884,0.00301067,0.00183874,0.00208585,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,1.194928181,-638.866,-2.92249,6.908262308,0.04,0.01,288
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,15,0.68838053,0.00244437,0.00169594,0.00191363,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,0.968684091,-672.025,-2.02027,4.454721477,0.04,0.01,288
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,10,0.679829205,0.00294032,0.00192564,0.00218149,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.922686935,-756.078,-2.06222,4.618011381,0.04,0.01,288
0,RSN285_ITALY_A-BAG000.AT2.g3,0.129652,5,0.671587271,0.00223371,0.0016631,0.00186799,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.831194801,779.628,1.72565,4.423775949,0.04,0.01,288
